name,prompt,negative_prompt
服装测试,"1girl,solo,realistic,jewelry,necklace,brown eyes,earrings,lips,looking at viewer,long hair BREAK
white shirt,short sleeves,bracelet,black hair,smile,closed mouth,facing viewer,
makeup,fashion model,picture-perfect face,flowing hair,(full body:1.2),shiny skin,(masterpiece, top quality),master piece,professional artwork,famous artwork,(realistic,photorealistic:1.37),HDR,UHD,8K,ultra realistic 8k cg,8K,32k,HD,
Negative prompt: EasyNegativeV2,(badhandv4:1.2),(worst quality, low quality, cgi, bad eye, worst eye, illustration, cartoon),deformed,distorted,disfigured,poorly drawn,bad anatomy,wrong anatomy,(normal quality:2),lowres,bad anatomy,bad hands,normal quality,((monochrome)),((grayscale)),easynegative,paintings,sketches,
Steps: 20, Sampler: DPM++ SDE, Schedule type: Karras, CFG scale: 7, Seed: 3218536938, Size: 512x1024, Model hash: c8a7c57e65, Model: my_checkpoint_v4, VAE hash: ff724e9611, VAE: vae-ft-mse-840000-ema-pruned.safetensors, Clip skip: 2, ADetailer model: face_yolov8n_v2.pt, ADetailer confidence: 0.3, ADetailer dilate erode: 4, ADetailer mask blur: 4, ADetailer denoising strength: 0.4, ADetailer inpaint only masked: True, ADetailer inpaint padding: 32, ADetailer model 2nd: hand_yolov8s.pt, ADetailer prompt 2nd: ""<lora:shou:1>,perfect hands,delicate hands"", ADetailer confidence 2nd: 0.3, ADetailer dilate erode 2nd: 4, ADetailer mask blur 2nd: 4, ADetailer denoising strength 2nd: 0.3, ADetailer inpaint only masked 2nd: True, ADetailer inpaint padding 2nd: 32, ADetailer version: 24.5.1, Lora hashes: ""anto_pleated_skirt_v1: 577073c2c2df"", TI hashes: ""EasyNegativeV2: 339cc9210f70, badhandv4: 5e40d722fc3d, EasyNegative: 66a7279a88dd"", Downcast alphas_cumprod: True, Version: v1.9.3, Hashes: {""vae"": ""735e4c3a44"", ""embed:EasyNegativeV2"": ""339cc9210f"", ""embed:badhandv4"": ""5e40d722fc"", ""lora:anto_pleated_skirt_v1"": ""782590587f"", ""model"": ""c8a7c57e65""}",
lora测试,"1girl,solo,realistic,jewelry,necklace,brown eyes,earrings,lips,looking at viewer,long hair BREAK
white shirt,short sleeves,bracelet,black hair,smile,closed mouth,facing viewer,
makeup,fashion model,picture-perfect face,flowing hair,(full body:1.2),shiny skin,(masterpiece, top quality),master piece,professional artwork,famous artwork,(realistic,photorealistic:1.37),HDR,UHD,8K,ultra realistic 8k cg,8K,32k,HD,","EasyNegativeV2,(badhandv4:1.2),(worst quality, low quality, cgi, bad eye, worst eye, illustration, cartoon),deformed,distorted,disfigured,poorly drawn,bad anatomy,wrong anatomy,(normal quality:2),lowres,bad anatomy,bad hands,normal quality,((monochrome)),((grayscale)),easynegative,paintings,sketches,"
[正咒]-高质量,"(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),",
[正咒]-画质改善,"ray tracing,(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),incredibly_absurdres,colorful,intricate detail,artbook,",
naifu基础起手式,"masterpiece, best quality, ","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
2.5D人物基础咒语,"(best quality), ((masterpiece)), (highres), (an extremely delicate and beautiful), original, extremely detailed wallpaper,
","worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,bad_anatomy,bad_feet,bad_hands,bad_perspective,bad_proportions,error,extra_arms,extra_ears,extra_eyes,extra_mouth,feet_out_of_frame,foot_out_of_frame,greyscale,head_out_of_frame,out-of-frame_censoring,out_of_frame,wrong_feet,"
[反咒]-万能,,"multiple breasts, (mutated hands and fingers:1.5 ), (long body :1.3), (mutation, poorly drawn :1.2) , black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, lowres, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand,"
[反咒]-单人专用,,"(Multiple people),lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,"
[反咒]-不要打码,,"censored,identity_censor,convenient_censoring,bar_censor,blur_censor,character_censor,"
[反咒]-反肢体崩坏,,"extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers, extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers,,"
[反咒]-反脚部崩坏,,"poorly drawn hairs,bad face,fused face,poorly drawn face,cloned face,missing ears,bad eyes,,Eyes facing different directions,bad tongue,bad mouth,fused mouth,cracked mouth,liquid tongue,huge thighs,disappearing toes,disappearing feet,long feet,too many toes,the toe of the mast,the foot of the mast,distorted feet,bad feet,ugly,malformed feet,extra digits,big feet,missing feet,less than 2 legs,more than 2 legs,extra legs,mutated feet,extra feet,poorly drawn feet,error,bad anatomy,fused,quality,badfeetlowres,morethan2nipples,outofframe,lowres,text,jpegartifacts,big toes,hermaphrodite,grossproportions,signature,watermark,username,extra digit,fewer digits,cropped,milf,morbid,tranny,tranny,duplicate,yaio,clonedface,multiplebreasts,trannsexual,(pov),(day),"
